ticket_id,text,gold_type,pred_type,type_correct,gold_queue,pred_queue,queue_correct,gold_tags,pred_tags,candidate_tags,tag_precision,tag_recall,tag_f1,json_valid,invalid_labels,tags_outside_candidates,evidence_valid_rate
11,"VPN Access Issue

Customer Support,\n\nWe are encountering a disruption in VPN-router connectivity that is impacting several devices, notably essential remote telemedicine systems and EMR integrations. Attempts to resolve the issue by restarting affected devices and resetting the router have been unsuccessful. We suspect the problem may be related to firmware discrepancies following recent network configuration updates. This disruption is significantly affecting our operations, and we urgently need assistance to identify and fix the root cause. Kindly advise on additional troubleshooting steps.",Incident,Incident,True,Product Support,Technical Support,False,"['Network', 'Disruption', 'VPN', 'Tech Support']","['VPN', 'Connectivity', 'Troubleshooting', 'Firmware', 'Root Cause']","['Customer Support', 'Root Cause', 'Access Issue', 'Disruption', 'Network', 'Support', 'Issue', 'Troubleshooting', 'Assistance', 'Configuration', 'Connectivity', 'Access', 'Firmware', 'VPN', 'Customer', 'Telemedicine', 'Problem', 'Fix', 'EMR', 'Router', 'Tech Support', 'IT', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Outage', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration']",0.2,0.25,0.2222,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
12,"Issue with SaaS Platform Functionality

Sehr geehrtes Support-Team,\n\nich möchte Sie auf einen Ausfall der Funktionen unserer SaaS-Plattform aufmerksam machen, den wir momentan erleben. In den letzten Stunden sind mehrere zentrale Features der Plattform langsamer geworden, was die Arbeitsabläufe erheblich beeinträchtigt und die Produktivität verringert.\n\nBesonders betroffen sind die Ladezeiten der Dashboards, es gibt Inkonsistenzen bei der Daten-Synchronisation sowie gelegentliche Fehler im Benutzer-Authentifizierungsprozess. Trotz Versuchen, die Anwendung neu zu starten und den Browser-Cache zu leeren, bestehen die Probleme weiterhin.\n\nDa die Plattform für unsere täglichen Geschäftsprozesse unverzichtbar ist, bitten wir um eine schnelle Bearbeitung dieses Anliegens. Könnten Sie uns bitte Unterstützung bieten?",Incident,Incident,True,Product Support,Technical Support,False,"['Bug', 'Performance', 'Disruption', 'Feature']","['SaaS Platform', 'Performance', 'Dashboard', 'Synchronisation', 'Bug']","['SaaS Platform', 'Support', 'Issue', 'SaaS', 'Platform', 'Cache', 'Functionality', 'Browser', 'Team', 'Synchronisation', 'Fehler', 'Features', 'Plattform', 'IT', 'Feature', 'HR', 'Dashboard', 'Problem', 'Cache Issue', 'Platform Issue', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration']",0.4,0.5,0.4444,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
13,"Immediate Help Needed: Technical Problem with Cloud SaaS Service

Dear Customer Support Team,\n\nI am submitting a report regarding a technical problem encountered with the Cloud SaaS platform, which is currently disrupting our business activities. I have observed that certain features are not functioning as expected, causing interruptions that hinder workflow efficiency.\n\nIn particular, I am facing sporadic connectivity issues when trying to access the platform. Sometimes, the system fails to load the dashboard, and the data displayed appears outdated or incomplete. Furthermore, the response times for executing commands have significantly increased, resulting in delays.",Problem,Incident,False,IT Support,Technical Support,False,"['Bug', 'Crash', 'Network', 'Performance', 'Disruption', 'Outage', 'Tech Support']","['Technical Problem', 'Connectivity', 'Performance', 'Dashboard', 'Data']","['Customer Support', 'Technical Problem', 'SaaS Platform', 'Cloud SaaS', 'Support', 'System', 'SaaS', 'Data', 'Platform', 'Service', 'Workflow', 'Connectivity', 'Cloud', 'Access', 'Efficiency', 'Business', 'Dashboard', 'Customer', 'Load', 'Outdated', 'Tech Support', 'IT', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI']",0.2,0.1429,0.1667,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
14,"Inquiry for Detailed Information on Agency Offerings

Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request detailed information about the services provided by your agency. Specifically, I am interested in understanding the variety of services available, the pricing models, and any special packages or offers that might be applicable.\n\nAdditionally, I would appreciate it if you could send brochures, service contracts, and case studies highlighting your previous work and client success stories. This information will greatly help me in making an informed decision.",Request,Request,True,Product Support,Sales and Pre-Sales,False,"['Product', 'Service', 'Feedback', 'Sales']","['Information', 'Sales', 'Pricing', 'Services', 'Agency']","['Customer Support', 'IT', 'Support', 'Service', 'Pricing', 'Agency', 'Information', 'Inquiry', 'Decision', 'Customer', 'Team', 'Request', 'Packages', 'Services', 'Success', 'Customer Service', 'Decision Making', 'Model', 'UI', 'Decision-Making', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API']",0.2,0.25,0.2222,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
15,"Request for Issue Explanation

Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request help with a problem I am experiencing. Unfortunately, I am not entirely sure how to clearly describe the issue, which makes it difficult to specify the exact nature of the problem.\n\nWhen I try to use the service, I observe unexpected behavior and cannot identify the precise cause. There are error messages and notifications, which make it challenging to provide a detailed description. I have attempted basic troubleshooting steps, such as restarting the application and checking for updates.",Incident,Request,False,Product Support,Technical Support,False,"['Bug', 'Issue', 'Disruption', 'Support']","['Troubleshooting', 'Error', 'Notification', 'Application', 'Behavior']","['Customer Support', 'IT', 'Support', 'Issue', 'Troubleshooting', 'Error', 'Service', 'Application', 'Customer', 'Team', 'Problem', 'Request', 'Behavior', 'Notification', 'Update', 'Customer Service', 'Restart', 'Plan', 'IT Support', 'AI', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'API', 'API Integration']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
16,"Inquiry for In-Depth Details on Financial Institution Offerings

Dear Customer Support Team,\n\nI hope this message reaches you in good health. I am writing to request detailed information about the spectrum of products provided by your financial institution. As a potential client, I am particularly eager to learn about the features, advantages, and terms linked to your investment and savings offerings.\n\nWould you be able to send comprehensive brochures or documentation that specify the details of your products? I am interested in information regarding account types, interest rates, fees, minimum deposit amounts, and any current promotional deals.",Request,Request,True,Customer Service,Sales and Pre-Sales,False,"['Inquiry', 'Product', 'Feature', 'Customer Support']","['Financial Institution', 'Documentation', 'Investment', 'Account', 'Fees']","['Customer Support', 'Financial Institution', 'Documentation', 'Support', 'Account', 'Investment', 'Financial', 'Information', 'Inquiry', 'Health', 'Customer', 'Team', 'Request', 'Fees', 'Features', 'Promotional', 'IT', 'Feature', 'Product', 'Promotion', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Disruption', 'Outage', 'Network', 'Recovery', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration', 'AR', 'AWS']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
17,"Enhancing Multi-Unit Marketing Processes

Dear Customer Support Team,\n\nI am reaching out to request comprehensive details on optimizing marketing workflows across multiple departments by utilizing advanced analytics, automation, and centralized account management. Our organization aims to improve campaign coordination and boost performance metrics across various marketing channels, believing that implementing such strategies will greatly enhance our overall marketing success.\n\nIn particular, I would like to understand the best practices for integrating data analytics tools that offer real-time insights across different teams.",Request,Request,True,Technical Support,Sales and Pre-Sales,False,"['Feature', 'Account', 'Marketing', 'Performance', 'Automation', 'Organization', 'Campaign']","['Marketing', 'Analytics', 'Automation', 'Management', 'Best Practices']","['Customer Support', 'Data Analytics', 'Best Practices', 'Real-time', 'Performance', 'Support', 'Marketing', 'Account', 'Campaign', 'Analytics', 'Data', 'Automation', 'Coordination', 'Organization', 'Best Practice', 'Tools', 'Customer', 'Management', 'Team', 'Request', 'Tech Support', 'IT', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'AI', 'API', 'API Integration']",0.4,0.2857,0.3333,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
18,"Inquiry for Comprehensive Marketing Service Details

Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request detailed information about your marketing offerings. Our company is currently considering new marketing approaches to strengthen our brand visibility and boost customer engagement, and we are keen to understand the array of services your team provides.\n\nSpecifically, I would like to learn about the various marketing packages available, including digital marketing solutions such as social media management, email marketing campaigns, and search engine optimization.",Request,Request,True,Customer Service,Sales and Pre-Sales,False,"['Marketing', 'Feedback', 'Sales', 'Lead']","['Marketing', 'Digital Marketing', 'Social Media', 'Email Marketing', 'Search Engine']","['Digital Marketing', 'Customer Support', 'Social Media', 'Customer Engagement', 'Brand Visibility', 'Email Marketing', 'Media Management', 'Search Engine', 'Support', 'Marketing', 'Optimization', 'Digital', 'Service', 'Engagement', 'Brand', 'Information', 'Inquiry', 'Visibility', 'Campaigns', 'Email', 'Tech Support', 'IT', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'AI', 'API']",0.2,0.25,0.2222,True,"{'type': [], 'queue': [], 'tags': []}",[],0.8571
19,"Query About Future Service Disruptions and Maintenance Timelines

Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request detailed details regarding the schedule and scope of upcoming service disruptions and maintenance activities that could affect access to critical systems, particularly big data repositories, analytical models, and automated investment platforms. Understanding the timing and duration of these events is crucial for us to plan accordingly and minimize potential operational interruptions.\n\nCould you please provide a thorough overview of the planned maintenance?",Request,Request,True,Service Outages and Maintenance,Service Outages and Maintenance,True,"['Disruption', 'Maintenance', 'Notification', 'IT', 'Tech Support']","['Maintenance', 'Service Disruption', 'Overview', 'Data', 'Investment']","['Customer Support', 'Support', 'Maintenance', 'Data', 'Investment', 'Service', 'Access', 'Customer', 'Plan', 'Team', 'Query', 'Request', 'Critical', 'Service Disruption', 'Operational', 'Overview', 'Platforms', 'IT', 'Disruption', 'System', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Marketing', 'AI', 'API', 'API Integration', 'AR']",0.2,0.2,0.2,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
20,"Proposal for Upgrades to Big Data Analytics Systems

Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request improvements to our existing big data analytics infrastructure. Our goal is to enhance support for advanced machine learning models developed in Python, enable automated rebalancing of investment portfolios, and customize ESG (Environmental, Social, and Governance) investment strategies tailored specifically for institutional clients.\n\nAt present, our system manages large data sets and aims to incorporate complex machine learning algorithms to deliver real-time analytics efficiently.",Change,Request,False,Technical Support,Technical Support,True,"['Product', 'Feature', 'Feedback', 'IT']","['Analytics', 'Infrastructure', 'Machine Learning', 'Python', 'Investment']","['Customer Support', 'Data Analytics', 'Machine Learning', 'Real-time', 'Investment Strategies', 'Real-time Analytics', 'Support', 'Analytics', 'System', 'Data', 'Infrastructure', 'Investment', 'Customer', 'Python', 'Team', 'Request', 'IT', 'Improvement', 'Algorithm', 'Upgrade', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
